wavelength (nm),0,50,100,150,200,250,300,350,400,450,500,550,600,650,700
387,1.162144,1.161639,1.163991,1.162347,1.16783,1.173674,1.172737,1.172502,1.173624,1.176184,1.177971,1.183266,1.181914,1.182653,1.182425
388,1.160385,1.161589,1.162009,1.163034,1.168949,1.171913,1.16887,1.175902,1.176546,1.174474,1.178932,1.179274,1.178062,1.180295,1.183989
389,1.156584,1.155822,1.159457,1.162586,1.163736,1.168667,1.169935,1.17264,1.174096,1.174556,1.17384,1.179994,1.177511,1.177797,1.180418
390,1.156274,1.155117,1.15878,1.158923,1.161064,1.164348,1.168265,1.166671,1.168476,1.170489,1.17261,1.176466,1.176442,1.176368,1.180638
391,1.150278,1.153624,1.155304,1.158781,1.15858,1.162487,1.165573,1.166271,1.169373,1.17389,1.169719,1.172616,1.173831,1.174186,1.177945
392,1.150389,1.151748,1.153379,1.155955,1.158168,1.159034,1.162479,1.163741,1.164096,1.166505,1.168532,1.171571,1.172173,1.171169,1.176628
393,1.147344,1.148203,1.150164,1.149826,1.156467,1.160031,1.159167,1.16084,1.166117,1.163992,1.163377,1.169754,1.167625,1.167544,1.171889
394,1.146895,1.146099,1.146764,1.149437,1.152714,1.15499,1.158664,1.161318,1.159628,1.162212,1.161847,1.167236,1.16425,1.165189,1.169226
395,1.141643,1.141281,1.143985,1.146953,1.15203,1.154516,1.156528,1.156616,1.157586,1.160003,1.158674,1.15963,1.161371,1.161651,1.164851
396,1.13944,1.141484,1.140717,1.144228,1.145837,1.149001,1.150563,1.154613,1.154284,1.155513,1.15638,1.157358,1.158184,1.162021,1.164104
397,1.138924,1.14018,1.140018,1.143783,1.147642,1.146135,1.148691,1.153761,1.151528,1.15347,1.154514,1.157844,1.157347,1.156797,1.162571
398,1.135068,1.136172,1.137446,1.138326,1.140422,1.145175,1.146567,1.148634,1.152317,1.15119,1.154478,1.153723,1.154937,1.153147,1.15629
399,1.131916,1.135243,1.138225,1.136533,1.140304,1.143929,1.145938,1.148723,1.147772,1.150286,1.151833,1.152429,1.151826,1.15335,1.156201
400,1.132569,1.13236,1.135147,1.137535,1.140288,1.1432,1.144124,1.148044,1.147132,1.14827,1.150086,1.152664,1.152657,1.151957,1.156984
401,1.131678,1.130746,1.135233,1.134037,1.13739,1.14133,1.144188,1.146337,1.14837,1.14973,1.149808,1.152636,1.153193,1.152932,1.155218
402,1.130552,1.127776,1.133449,1.135556,1.138158,1.139728,1.142616,1.145434,1.145459,1.148243,1.150907,1.151094,1.150436,1.150268,1.153033
403,1.129348,1.126672,1.130197,1.133508,1.134536,1.138077,1.139117,1.141317,1.143935,1.147419,1.147774,1.14507,1.14758,1.148871,1.151742
404,1.129054,1.1282,1.129315,1.134366,1.13585,1.140134,1.140856,1.140267,1.144871,1.143628,1.147497,1.147517,1.149139,1.149825,1.152311
405,1.127105,1.127348,1.129247,1.132639,1.13422,1.137966,1.139227,1.143225,1.141841,1.143876,1.145834,1.147789,1.147597,1.147598,1.149632
406,1.126683,1.127384,1.129796,1.131941,1.132769,1.135052,1.138176,1.139582,1.142363,1.141934,1.145418,1.146051,1.145948,1.145314,1.149984
407,1.126149,1.128368,1.127915,1.129632,1.133347,1.135772,1.138274,1.139423,1.140822,1.144872,1.146366,1.144824,1.14448,1.146029,1.15057
408,1.124411,1.12508,1.126811,1.130397,1.133457,1.133935,1.137142,1.138847,1.138706,1.141195,1.141362,1.145107,1.14642,1.1449,1.147507
409,1.123796,1.1235,1.126764,1.126914,1.131247,1.132143,1.134527,1.136776,1.140572,1.140203,1.141594,1.141335,1.144547,1.144344,1.146299
410,1.122414,1.12372,1.125583,1.128304,1.129771,1.131472,1.136483,1.136831,1.139437,1.140121,1.139406,1.143527,1.144418,1.145019,1.143598
411,1.122061,1.123446,1.125832,1.128376,1.130211,1.132883,1.134886,1.135223,1.137595,1.139877,1.140369,1.141469,1.14312,1.140911,1.144376
412,1.123177,1.123622,1.125226,1.128414,1.129626,1.133449,1.134994,1.134842,1.139807,1.136054,1.140176,1.141966,1.142596,1.14369,1.146867
413,1.122596,1.122948,1.125238,1.125174,1.130318,1.128547,1.131167,1.134291,1.13807,1.137442,1.141368,1.140427,1.141457,1.142276,1.14145
414,1.120921,1.124661,1.123012,1.125378,1.128345,1.129844,1.132462,1.13383,1.1344,1.136958,1.1374,1.14099,1.141125,1.139576,1.14701
415,1.124762,1.120899,1.125032,1.125888,1.128453,1.130378,1.134213,1.134629,1.136315,1.138183,1.138968,1.14269,1.143426,1.143742,1.144593
416,1.12386,1.121777,1.125264,1.128171,1.129973,1.133478,1.133818,1.137509,1.138215,1.138751,1.139559,1.141808,1.141875,1.13985,1.143906
417,1.122593,1.126143,1.124832,1.128754,1.130284,1.134864,1.133868,1.137417,1.136856,1.137844,1.140137,1.138397,1.141939,1.143543,1.145121
418,1.123535,1.125098,1.124803,1.128208,1.130018,1.134247,1.135457,1.137674,1.137887,1.140107,1.141796,1.142311,1.142405,1.142701,1.145554
419,1.125075,1.124856,1.127403,1.130577,1.133137,1.133481,1.137308,1.137655,1.140126,1.139536,1.143095,1.143945,1.143685,1.144554,1.14588
420,1.124966,1.125873,1.127256,1.130696,1.132396,1.135507,1.136133,1.138103,1.140241,1.140147,1.142221,1.144262,1.145387,1.143716,1.146031
421,1.126209,1.126978,1.129792,1.129212,1.133665,1.135067,1.13849,1.141123,1.141071,1.142501,1.142253,1.142129,1.14381,1.144472,1.147747
422,1.129886,1.129133,1.1311,1.131733,1.1366,1.14023,1.139823,1.141286,1.142553,1.143595,1.145172,1.145926,1.146978,1.145593,1.149593
423,1.129995,1.129074,1.133152,1.134039,1.13549,1.138017,1.141388,1.140905,1.143216,1.14564,1.143438,1.146653,1.145859,1.144776,1.14917
424,1.131696,1.132619,1.132317,1.133814,1.1381,1.13824,1.140274,1.143336,1.145827,1.145725,1.147144,1.148848,1.148378,1.14699,1.151596
425,1.130026,1.129627,1.132317,1.133753,1.136815,1.138977,1.140913,1.143662,1.144412,1.144679,1.143832,1.147567,1.148468,1.14623,1.149541
426,1.132449,1.130654,1.131967,1.137367,1.138691,1.139709,1.143788,1.144824,1.143479,1.144729,1.147275,1.149369,1.14815,1.149427,1.151663
427,1.135955,1.132229,1.135626,1.138267,1.138941,1.14181,1.142398,1.146878,1.145488,1.146271,1.147552,1.151364,1.149858,1.150976,1.15127
428,1.132917,1.132876,1.132784,1.137164,1.139364,1.142087,1.143657,1.14394,1.1457,1.145505,1.145926,1.149363,1.149068,1.150318,1.151453
429,1.135418,1.135042,1.134808,1.136966,1.139482,1.140547,1.143404,1.146472,1.148347,1.146453,1.148392,1.150232,1.150089,1.151758,1.151617
430,1.136594,1.136569,1.137893,1.139156,1.141793,1.144014,1.14625,1.146046,1.148704,1.148852,1.148992,1.150546,1.150652,1.152319,1.15452
431,1.135287,1.135115,1.137756,1.137364,1.141401,1.144619,1.145473,1.146382,1.146359,1.148928,1.148772,1.149834,1.151591,1.151714,1.152256
432,1.135978,1.137933,1.139366,1.141508,1.143697,1.14539,1.14953,1.150217,1.148983,1.150934,1.150603,1.152406,1.153755,1.155482,1.154571
433,1.13914,1.138791,1.138952,1.140005,1.143143,1.145929,1.14814,1.149515,1.151718,1.150714,1.153204,1.154621,1.153318,1.155735,1.157409
434,1.139583,1.137816,1.139935,1.14246,1.145071,1.147139,1.149508,1.150555,1.152075,1.152151,1.153417,1.154989,1.155688,1.154855,1.15759
435,1.140249,1.14061,1.142413,1.143045,1.147022,1.148369,1.149687,1.150371,1.15268,1.153569,1.153559,1.155172,1.157854,1.156074,1.158501
436,1.141622,1.141917,1.142952,1.146829,1.148233,1.150964,1.149354,1.151052,1.153141,1.155447,1.156569,1.156496,1.156575,1.156569,1.158423
437,1.143615,1.142372,1.143851,1.145422,1.148443,1.150495,1.154409,1.155235,1.153315,1.156853,1.157636,1.157122,1.15864,1.159693,1.158544
438,1.143759,1.143169,1.14407,1.148285,1.14925,1.152881,1.155029,1.155445,1.157641,1.157611,1.158404,1.158501,1.157666,1.161007,1.160043
439,1.142194,1.140758,1.145803,1.146622,1.147502,1.151934,1.153202,1.155733,1.158103,1.155358,1.155998,1.160421,1.15928,1.158966,1.158213
440,1.142722,1.144027,1.14599,1.147202,1.151401,1.150881,1.152757,1.155479,1.157715,1.157188,1.158189,1.160358,1.160737,1.160742,1.161025
441,1.143389,1.143466,1.144463,1.144442,1.149361,1.150655,1.153687,1.156546,1.155929,1.155999,1.157142,1.158162,1.160352,1.159438,1.15873
442,1.142876,1.142956,1.14493,1.147817,1.149596,1.150891,1.155685,1.15579,1.15632,1.155916,1.158546,1.158772,1.158207,1.158192,1.160349
443,1.141176,1.143458,1.144864,1.14679,1.150364,1.150394,1.154264,1.155568,1.155922,1.155957,1.156204,1.158454,1.158786,1.158908,1.158611
444,1.143788,1.143205,1.144846,1.147277,1.149552,1.152074,1.153684,1.153095,1.156401,1.155876,1.156556,1.158855,1.158145,1.15963,1.159613
445,1.142508,1.140875,1.14173,1.145125,1.147491,1.147061,1.15366,1.15434,1.154699,1.153342,1.157358,1.155795,1.156887,1.159632,1.157801
446,1.141502,1.143208,1.142847,1.14533,1.148853,1.149334,1.151065,1.152853,1.152882,1.152969,1.153833,1.158014,1.158198,1.157675,1.159907
447,1.140402,1.140887,1.142741,1.145844,1.146721,1.148729,1.148576,1.151816,1.153201,1.15439,1.1553,1.156426,1.155613,1.157745,1.157082
448,1.140351,1.138942,1.14167,1.142609,1.145669,1.146433,1.149949,1.150954,1.15102,1.15116,1.154924,1.154588,1.153353,1.154456,1.154705
449,1.135791,1.137826,1.140119,1.141811,1.144173,1.144706,1.147336,1.152211,1.150862,1.15111,1.151838,1.152488,1.152036,1.153025,1.154413
450,1.136165,1.132564,1.135538,1.140323,1.142686,1.141339,1.143982,1.147595,1.147478,1.148031,1.147532,1.151796,1.152346,1.150296,1.150777
451,1.133465,1.134071,1.133392,1.134533,1.139172,1.141775,1.145561,1.145489,1.146048,1.14656,1.146503,1.149114,1.150312,1.150558,1.149153
452,1.133018,1.132823,1.13507,1.140379,1.138831,1.139985,1.142839,1.143925,1.145657,1.145407,1.147996,1.144752,1.150121,1.150786,1.150404
453,1.129381,1.130315,1.132503,1.134999,1.137171,1.138418,1.140559,1.141094,1.141698,1.145019,1.144135,1.144689,1.1483,1.146947,1.149195
454,1.128393,1.127817,1.130955,1.134118,1.134767,1.139266,1.140171,1.140768,1.140771,1.143568,1.142288,1.145889,1.146454,1.145573,1.145573
455,1.128239,1.127969,1.130366,1.131135,1.134902,1.135193,1.138079,1.139504,1.140456,1.140334,1.141726,1.145696,1.146412,1.145245,1.143056
456,1.123994,1.124854,1.126123,1.128154,1.130556,1.133178,1.133843,1.137827,1.136786,1.13807,1.139131,1.140345,1.14034,1.141061,1.140826
457,1.125029,1.123049,1.125441,1.129467,1.13158,1.132985,1.134177,1.13476,1.136901,1.139287,1.137269,1.139765,1.140646,1.141183,1.140307
458,1.1224,1.120658,1.123892,1.127405,1.128436,1.130909,1.131116,1.132445,1.135466,1.134612,1.136851,1.137784,1.136842,1.13839,1.137117
459,1.122532,1.121,1.122401,1.124111,1.12833,1.130716,1.130122,1.132645,1.132056,1.133219,1.136488,1.137413,1.1364,1.135771,1.13757
460,1.11831,1.11949,1.119686,1.122545,1.12513,1.126681,1.128164,1.128379,1.130075,1.131332,1.132412,1.13319,1.134428,1.134997,1.135885
461,1.116074,1.117141,1.118236,1.118804,1.124035,1.125028,1.127707,1.126351,1.128104,1.128479,1.131592,1.132046,1.131038,1.131615,1.132686
462,1.116157,1.118265,1.118784,1.118695,1.122551,1.123913,1.127486,1.128497,1.127281,1.130624,1.129292,1.130418,1.130955,1.131904,1.132926
463,1.115316,1.112697,1.115116,1.11852,1.1215,1.121995,1.126287,1.124528,1.127503,1.129224,1.128817,1.131224,1.130312,1.130553,1.132155
464,1.115149,1.11515,1.115255,1.117157,1.120399,1.121691,1.123384,1.124679,1.127245,1.128087,1.129807,1.128524,1.131148,1.130703,1.134019
465,1.112685,1.114499,1.114954,1.118561,1.119738,1.120751,1.123565,1.124892,1.12541,1.126399,1.12859,1.128088,1.128796,1.129769,1.130321
466,1.113113,1.11203,1.11502,1.116579,1.119957,1.122109,1.123779,1.123875,1.124132,1.12796,1.128237,1.128483,1.128391,1.129924,1.129407
467,1.110976,1.11193,1.114431,1.116025,1.119789,1.121181,1.122908,1.124074,1.125402,1.126392,1.128453,1.128018,1.126964,1.12845,1.130069
468,1.111563,1.113195,1.115641,1.116442,1.118686,1.120708,1.123126,1.125289,1.126261,1.126912,1.12458,1.127789,1.128363,1.127767,1.130294
469,1.11365,1.11157,1.115176,1.11598,1.120244,1.120373,1.121709,1.124483,1.12683,1.124966,1.127399,1.129058,1.127949,1.127065,1.129999
470,1.113942,1.113458,1.115291,1.116479,1.119859,1.120408,1.123773,1.123176,1.126601,1.126574,1.127535,1.128112,1.128802,1.129652,1.128559
471,1.115351,1.113832,1.11443,1.117515,1.117965,1.121497,1.122504,1.125982,1.125909,1.126981,1.12854,1.128435,1.129025,1.128926,1.128532
472,1.114262,1.115946,1.11581,1.121516,1.121258,1.123255,1.124318,1.125766,1.126454,1.127499,1.129629,1.129734,1.131623,1.131416,1.132431
473,1.115874,1.114444,1.117156,1.119092,1.123138,1.124081,1.123917,1.12734,1.127301,1.128761,1.130284,1.131757,1.133218,1.132443,1.133771
474,1.115579,1.117101,1.117536,1.118571,1.123542,1.123311,1.127993,1.12771,1.129516,1.129441,1.130285,1.132246,1.132923,1.132406,1.131489
475,1.118704,1.118827,1.122156,1.123405,1.124363,1.125222,1.128663,1.127389,1.130388,1.129917,1.133054,1.133355,1.133748,1.134544,1.134328
476,1.117393,1.119664,1.119962,1.121397,1.125445,1.127071,1.127695,1.128225,1.131462,1.13157,1.132965,1.134251,1.133499,1.136168,1.135245
477,1.11935,1.120091,1.123634,1.12252,1.126508,1.127912,1.129659,1.13062,1.133868,1.133049,1.134439,1.133992,1.13488,1.134449,1.136424
478,1.123663,1.122277,1.123574,1.127483,1.127974,1.129311,1.129968,1.132917,1.133293,1.135503,1.136399,1.136951,1.137992,1.139197,1.137164
